filename,width,height,class,xmin,ymin,xmax,ymax
GUN_69.jpg,800,600,GUN,3,104,797,551
GUN_7.jpg,800,600,GUN,287,174,698,486
GUN_70.jpg,800,600,GUN,101,16,720,546
GUN_71.jpg,800,600,GUN,18,42,800,571
GUN_72.jpg,2877,1076,GUN,110,369,2759,795
GUN_73.jpg,781,280,GUN,30,15,730,257
GUN_74.jpg,940,529,GUN,136,9,849,508
GUN_75.jpg,505,280,GUN,1,58,505,237
GUN_76.jpg,1300,479,GUN,8,1,1300,390
GUN_77.jpg,800,600,GUN,120,84,713,582
GUN_78.jpg,1300,479,GUN,9,4,1299,386
GUN_79.jpg,1920,1080,GUN,99,143,1789,957
GUN_8.jpg,800,600,GUN,291,175,694,484
GUN_80.jpg,1300,331,GUN,5,3,1300,243
GUN_81.jpg,2048,533,GUN,14,4,2048,532
GUN_82.jpg,500,289,GUN,24,78,486,289
GUN_83.jpg,1920,1080,GUN,110,120,1785,968
GUN_84.jpg,1500,999,GUN,1,1,1500,999
GUN_85.jpg,1242,1239,GUN,3,2,1043,1209
GUN_86.jpg,2048,1152,GUN,196,159,1802,1116
GUN_87.jpg,640,480,GUN,7,13,640,429
GUN_88.jpg,800,600,GUN,114,80,711,584
GUN_89.jpg,390,280,GUN,6,9,380,257
GUN_9.jpg,800,600,GUN,8,38,797,534
GUN_90.jpg,5371,3581,GUN,677,1007,3655,2062
GUN_91.jpg,1300,331,GUN,2,4,1300,239
GUN_92.jpg,188,250,GUN,50,1,109,238
GUN_93.jpg,1280,960,GUN,195,211,1062,727
GUN_94.jpg,458,458,GUN,3,103,458,358
GUN_95.jpg,735,1202,GUN,25,79,721,1139
GUN_96.jpg,850,995,GUN,10,248,849,741
GUN_97.jpg,2560,1815,GUN,70,371,2492,1594
KNIFE_1.jpg,800,600,KNIFE,280,39,638,541
KNIFE_10.jpg,800,600,KNIFE,106,24,751,568
KNIFE_100.jpg,800,600,KNIFE,57,194,570,454
KNIFE_11.jpg,800,600,KNIFE,15,128,782,480
KNIFE_12.jpg,800,600,KNIFE,10,47,770,531
KNIFE_13.jpg,800,600,KNIFE,153,213,784,384
KNIFE_14.jpg,800,600,KNIFE,1,22,764,599
KNIFE_15.jpg,800,600,KNIFE,17,164,783,458
KNIFE_16.jpg,800,600,KNIFE,275,32,604,570
KNIFE_17.jpg,800,600,KNIFE,30,23,771,582
KNIFE_18.jpg,800,600,KNIFE,31,16,772,579
KNIFE_19.jpg,800,600,KNIFE,61,41,759,497
KNIFE_2.jpg,800,600,KNIFE,352,64,497,531
KNIFE_20.jpg,800,600,KNIFE,195,71,785,503
KNIFE_21.jpg,800,600,KNIFE,28,63,780,581
KNIFE_22.jpg,800,600,KNIFE,8,175,800,375
KNIFE_23.jpg,800,600,KNIFE,9,10,771,577
KNIFE_24.jpg,800,600,KNIFE,38,32,694,574
KNIFE_25.jpg,800,600,KNIFE,31,95,707,433
KNIFE_26.jpg,800,600,KNIFE,101,253,705,318
KNIFE_27.jpg,800,600,KNIFE,259,64,386,547
KNIFE_28.jpg,800,600,KNIFE,57,41,755,492
KNIFE_29.jpg,800,600,KNIFE,347,14,458,584
KNIFE_3.jpg,800,600,KNIFE,34,150,743,472
KNIFE_30.jpg,800,600,KNIFE,73,123,792,565
KNIFE_31.jpg,800,600,KNIFE,10,72,800,600
KNIFE_32.jpg,800,600,KNIFE,11,171,747,444
KNIFE_33.jpg,800,600,KNIFE,42,60,740,555
KNIFE_34.jpg,800,600,KNIFE,28,65,773,531
KNIFE_35.jpg,800,600,KNIFE,108,47,576,484
KNIFE_36.jpg,800,600,KNIFE,10,50,786,600
KNIFE_37.jpg,800,600,KNIFE,79,198,704,282
KNIFE_38.jpg,800,600,KNIFE,53,191,582,453
KNIFE_39.jpg,800,600,KNIFE,350,56,503,523
KNIFE_4.jpg,800,600,KNIFE,21,21,769,572
KNIFE_40.jpg,800,600,KNIFE,38,153,749,471
KNIFE_41.jpg,800,600,KNIFE,20,21,765,572
KNIFE_42.jpg,800,600,KNIFE,46,89,654,514
KNIFE_43.jpg,800,600,KNIFE,1,2,729,600
KNIFE_44.jpg,800,600,KNIFE,5,108,787,508
KNIFE_45.jpg,800,600,KNIFE,104,81,688,542
KNIFE_46.jpg,800,600,KNIFE,8,185,786,415
KNIFE_47.jpg,800,600,KNIFE,100,19,751,565
KNIFE_48.jpg,800,600,KNIFE,14,48,772,535
KNIFE_49.jpg,800,600,KNIFE,155,214,779,384
KNIFE_5.jpg,800,600,KNIFE,47,90,656,517
KNIFE_50.jpg,800,600,KNIFE,1,20,765,599
KNIFE_51.jpg,800,600,KNIFE,19,161,775,456
KNIFE_52.jpg,800,600,KNIFE,277,40,594,544
KNIFE_53.jpg,800,600,KNIFE,27,19,771,575
KNIFE_54.jpg,800,600,KNIFE,103,254,705,322
KNIFE_55.jpg,800,600,KNIFE,259,66,387,542
KNIFE_56.jpg,800,600,KNIFE,351,16,446,587
KNIFE_57.jpg,800,600,KNIFE,63,128,789,544
KNIFE_58.jpg,800,600,KNIFE,1,74,800,598
KNIFE_59.jpg,800,600,KNIFE,17,191,754,439
KNIFE_6.jpg,800,600,KNIFE,1,3,735,600
KNIFE_60.jpg,800,600,KNIFE,108,84,684,542
KNIFE_61.jpg,800,600,KNIFE,108,80,684,544
KNIFE_62.jpg,800,600,KNIFE,107,48,564,487
KNIFE_63.jpg,800,600,KNIFE,81,207,697,283
KNIFE_64.jpg,800,600,KNIFE,56,192,568,459
KNIFE_65.jpg,800,600,KNIFE,7,187,786,415
KNIFE_66.jpg,800,600,KNIFE,11,187,788,415
KNIFE_67.jpg,800,600,KNIFE,36,153,747,467
KNIFE_68.jpg,800,600,KNIFE,44,93,654,519
KNIFE_69.jpg,800,600,KNIFE,1,4,735,600
KNIFE_7.jpg,800,600,KNIFE,8,105,785,506
KNIFE_70.jpg,800,600,KNIFE,9,108,787,511
KNIFE_71.jpg,800,600,KNIFE,106,85,686,544
KNIFE_72.jpg,800,600,KNIFE,10,187,785,414
KNIFE_73.jpg,800,600,KNIFE,110,24,754,567
KNIFE_74.jpg,800,600,KNIFE,16,48,770,533
KNIFE_75.jpg,800,600,KNIFE,157,213,777,387
KNIFE_76.jpg,800,600,KNIFE,1,20,765,599
KNIFE_77.jpg,800,600,KNIFE,16,164,781,456
KNIFE_78.jpg,800,600,KNIFE,278,37,602,542
KNIFE_79.jpg,800,600,KNIFE,111,23,750,574
KNIFE_8.jpg,800,600,KNIFE,111,83,685,545
KNIFE_80.jpg,800,600,KNIFE,17,128,799,478
KNIFE_81.jpg,800,600,KNIFE,29,21,772,573
KNIFE_82.jpg,800,600,KNIFE,56,40,761,504
KNIFE_83.jpg,800,600,KNIFE,188,73,789,516
KNIFE_84.jpg,800,600,KNIFE,27,64,779,576
KNIFE_85.jpg,800,600,KNIFE,12,5,767,582
KNIFE_86.jpg,800,600,KNIFE,22,51,768,534
KNIFE_87.jpg,800,600,KNIFE,38,37,695,567
KNIFE_88.jpg,800,600,KNIFE,28,98,709,434
KNIFE_89.jpg,800,600,KNIFE,103,255,703,333
KNIFE_9.jpg,800,600,KNIFE,3,188,784,418
KNIFE_90.jpg,800,600,KNIFE,1,20,762,599
KNIFE_91.jpg,800,600,KNIFE,256,65,387,542
KNIFE_92.jpg,800,600,KNIFE,351,13,447,584
KNIFE_93.jpg,800,600,KNIFE,50,107,793,555
KNIFE_94.jpg,800,600,KNIFE,1,67,795,600
KNIFE_95.jpg,800,600,KNIFE,4,176,751,439
KNIFE_96.jpg,800,600,KNIFE,17,161,783,464
KNIFE_97.jpg,800,600,KNIFE,28,62,771,535
KNIFE_98.jpg,800,600,KNIFE,117,45,565,486
KNIFE_99.jpg,800,600,KNIFE,12,50,800,599
